distil_id	bead_batch	bead_revision	bead_set	cell_id	count_cv	count_mean	det_mode	det_plate	det_well	inf_model	pert_dose	pert_dose_unit	pert_id	pert_iname	pert_itime	pert_mfc_desc	pert_time	pert_time_unit	pert_type	pool_id	provenance_code	qc_f_logp	qc_iqr	qc_slope	rna_plate	rna_well	pert_plate
PETER001_HEPG2_24H_X1_B46:A04	b46	r2	dp52,dp53	HEPG2	16	107	duo	PETER001_HEPG2_24H_X1_B46	A04	mlr12k	0.5|0.1|0.1	uM	Abacavir|Dolutegravir|Emtricitabine	Abacavir|Dolutegravir|Emtricitabine	24 h	Abacavir|Dolutegravir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.8	14.1	54	PETER001_HEPG2_24H_X1	A04	PETER001
PETER001_HEPG2_24H_X1_B46:A05	b46	r2	dp52,dp53	HEPG2	17	108	duo	PETER001_HEPG2_24H_X1_B46	A05	mlr12k	0.5|0.1|0.1	uM	Abacavir|Dolutegravir|Emtricitabine	Abacavir|Dolutegravir|Emtricitabine	24 h	Abacavir|Dolutegravir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.1	13.95	53	PETER001_HEPG2_24H_X1	A05	PETER001
PETER001_HEPG2_24H_X1_B46:A06	b46	r2	dp52,dp53	HEPG2	16	119	duo	PETER001_HEPG2_24H_X1_B46	A06	mlr12k	0.5|0.1|0.1	uM	Abacavir|Dolutegravir|Emtricitabine	Abacavir|Dolutegravir|Emtricitabine	24 h	Abacavir|Dolutegravir|Emtricitabine	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.6	15.4	53	PETER001_HEPG2_24H_X1	A06	PETER001
PETER001_HEPG2_24H_X1_B46:A07	b46	r2	dp52,dp53	HEPG2	17	127	duo	PETER001_HEPG2_24H_X1_B46	A07	mlr12k	0.5|0.1|0.1	uM	Efavirenz|Emtricitabine|Tenofovir Disoproxil Fumarate	Efavirenz|Emtricitabine|Tenofovir Disoproxil Fumarate	24 h	Efavirenz|Emtricitabine|Tenofovir Disoproxil Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.9	14.49	54	PETER001_HEPG2_24H_X1	A07	PETER001
PETER001_HEPG2_24H_X1_B46:A08	b46	r2	dp52,dp53	HEPG2	17	104	duo	PETER001_HEPG2_24H_X1_B46	A08	mlr12k	0.5|0.1|0.1	uM	Efavirenz|Emtricitabine|Tenofovir Disoproxil Fumarate	Efavirenz|Emtricitabine|Tenofovir Disoproxil Fumarate	24 h	Efavirenz|Emtricitabine|Tenofovir Disoproxil Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.6	15	53	PETER001_HEPG2_24H_X1	A08	PETER001
PETER001_HEPG2_24H_X1_B46:A09	b46	r2	dp52,dp53	HEPG2	17	114	duo	PETER001_HEPG2_24H_X1_B46	A09	mlr12k	0.5|0.1|0.1	uM	Efavirenz|Emtricitabine|Tenofovir Disoproxil Fumarate	Efavirenz|Emtricitabine|Tenofovir Disoproxil Fumarate	24 h	Efavirenz|Emtricitabine|Tenofovir Disoproxil Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.2	17.27	52	PETER001_HEPG2_24H_X1	A09	PETER001
PETER001_HEPG2_24H_X1_B46:A10	b46	r2	dp52,dp53	HEPG2	17	107	duo	PETER001_HEPG2_24H_X1_B46	A10	mlr12k	0.5|0.1|0.5	uM	Bictegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	Bictegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24 h	Bictegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.6	16.48	54	PETER001_HEPG2_24H_X1	A10	PETER001
PETER001_HEPG2_24H_X1_B46:A11	b46	r2	dp52,dp53	HEPG2	18	96	duo	PETER001_HEPG2_24H_X1_B46	A11	mlr12k	0.5|0.1|0.5	uM	Bictegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	Bictegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24 h	Bictegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6	13.57	55	PETER001_HEPG2_24H_X1	A11	PETER001
PETER001_HEPG2_24H_X1_B46:A12	b46	r2	dp52,dp53	HEPG2	18	100	duo	PETER001_HEPG2_24H_X1_B46	A12	mlr12k	0.5|0.1|0.5	uM	Bictegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	Bictegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24 h	Bictegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	5.7	12.79	53	PETER001_HEPG2_24H_X1	A12	PETER001
PETER001_HEPG2_24H_X1_B46:A13	b46	r2	dp52,dp53	HEPG2	17	104	duo	PETER001_HEPG2_24H_X1_B46	A13	mlr12k	0.1|0.1|0.5	uM	Dolutegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	Dolutegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24 h	Dolutegravir|Emtricitabine|Tenofovir Alafenamide Fumarate	24	h	trt_cp	epsilon	KMV+F2D+INO+QNO	6.4	15.6	56	PETER001_HEPG2_24H_X1	A13	PETER001
